,Al2O3,SiO2,ZnO,TiO2
0,15,15,15,15
5,120,139,115,75
10,175,202,178,100
15,190,234,206,124
20,195,245,224,136
25,199,253,242,142
30,203,253,248,146
35,212,250,247,147
40,213,241,247,147
45,244,253,247,148
50,246,252,248,148
55,247,253,247,148
60,248,253,247,148
65,246,276,243,148
70,246,276,245,148
75,247,275,244,145
80,249,273,246,143
85,275,272,248,140
90,287,272,249,139
95,316,272,248,138
100,327,270,247,135
105,335,270,248,130
110,338,269,249,125
115,340,270,251,123
120,342,272,250,120
125,345,270,252,120
